"tanggal","provinsi","laki-laki","perempuan","tidak diketahui"
"2021-03-24","ACEH",4818,4954,19
"2021-03-28","ACEH",4843,4983,19
"2021-04-07","ACEH",4907,5059,19
"2021-04-12","ACEH",4970,5117,19
"2021-04-15","ACEH",5017,5164,19
"2021-04-16","ACEH",5028,5175,19
"2021-04-17","ACEH",5044,5194,19
"2021-04-18","ACEH",5065,5216,19
"2021-04-19","ACEH",5073,5221,19
"2021-04-20","ACEH",5103,5243,19
"2021-04-21","ACEH",5137,5273,19
"2021-04-22","ACEH",5172,5325,19
"2021-04-23","ACEH",5210,5377,20
"2021-04-24","ACEH",5234,5399,20
"2021-04-25","ACEH",5244,5413,20
"2021-04-26","ACEH",5281,5443,20
"2021-04-27","ACEH",5312,5482,20
"2021-04-30","ACEH",5439,5586,20
"2021-05-01","ACEH",5490,5659,20
"2021-05-02","ACEH",5533,5684,20
"2021-05-04","ACEH",5614,5757,20
"2021-05-06","ACEH",5700,5869,20
"2021-05-08","ACEH",5810,5972,20
"2021-05-10","ACEH",5862,6016,20
"2021-05-13","ACEH",5978,6154,20
"2021-05-14","ACEH",5980,6157,20
"2021-05-16","ACEH",6029,6200,20
"2021-05-19","ACEH",6200,6395,20
"2021-05-25","ACEH",6669,6892,20
"2021-05-26","ACEH",6798,7030,20
"2021-05-29","ACEH",7188,7423,20
"2021-05-31","ACEH",7369,7628,20
"2021-06-02","ACEH",7461,7759,20
"2021-06-10","ACEH",8214,8591,20
"2021-06-12","ACEH",8386,8811,20
"2021-06-13","ACEH",8461,8895,20
"2021-03-24","BALI",19153,18686,687
"2021-03-28","BALI",19482,19002,687
"2021-04-07","BALI",20506,19861,687
"2021-04-12","BALI",20967,20250,686
"2021-04-15","BALI",21209,20481,686
"2021-04-16","BALI",21320,20581,686
"2021-04-17","BALI",21422,20648,686
"2021-04-18","BALI",21506,20736,686
"2021-04-19","BALI",21592,20804,686
"2021-04-20","BALI",21697,20906,686
"2021-04-21","BALI",21805,20994,686
"2021-04-22","BALI",21884,21083,686
"2021-04-23","BALI",21961,21144,686
"2021-04-24","BALI",22012,21217,686
"2021-04-25","BALI",22050,21245,686
"2021-04-26","BALI",22111,21289,686
"2021-04-27","BALI",22186,21364,686
"2021-04-30","BALI",22413,21572,686
"2021-05-01","BALI",22494,21633,686
"2021-05-02","BALI",22538,21675,686
"2021-05-04","BALI",22675,21793,686
"2021-05-06","BALI",22827,21915,686
"2021-05-08","BALI",22939,22030,686
"2021-05-10","BALI",23032,22114,686
"2021-05-13","BALI",23177,22261,686
"2021-05-14","BALI",23198,22287,686
"2021-05-16","BALI",23262,22342,686
"2021-05-19","BALI",23405,22464,686
"2021-05-25","BALI",23612,22675,686
"2021-05-26","BALI",23643,22703,686
"2021-05-29","BALI",23713,22774,686
"2021-05-31","BALI",23752,22821,686
"2021-06-02","BALI",23795,22839,686
"2021-06-10","BALI",24060,23073,509
"2021-06-12","BALI",24098,23104,508
"2021-06-13","BALI",24126,23120,508
"2021-03-24","BANTEN",17303,18275,18
"2021-03-28","BANTEN",17549,18595,18
"2021-04-07","BANTEN",21377,23002,155
"2021-04-12","BANTEN",21750,23425,158
"2021-04-15","BANTEN",21916,23609,158
"2021-04-16","BANTEN",21983,23695,157
"2021-04-17","BANTEN",22033,23747,157
"2021-04-18","BANTEN",22059,23771,157
"2021-04-19","BANTEN",22092,23812,158
"2021-04-20","BANTEN",22135,23878,158
"2021-04-21","BANTEN",22167,23916,158
"2021-04-22","BANTEN",22207,23978,158
"2021-04-23","BANTEN",22286,24072,158
"2021-04-24","BANTEN",22313,24103,158
"2021-04-25","BANTEN",22347,24149,158
"2021-04-26","BANTEN",22460,24256,158
"2021-04-27","BANTEN",22582,24361,158
"2021-04-30","BANTEN",22699,24486,158
"2021-05-01","BANTEN",22727,24511,158
"2021-05-02","BANTEN",22749,24544,158
"2021-05-04","BANTEN",22868,24663,158
"2021-05-06","BANTEN",22928,24741,158
"2021-05-08","BANTEN",22992,24822,162
"2021-05-10","BANTEN",23053,24915,161
"2021-05-13","BANTEN",23141,24999,161
"2021-05-14","BANTEN",23164,25015,161
"2021-05-16","BANTEN",23207,25060,161
"2021-05-19","BANTEN",23277,25125,161
"2021-05-25","BANTEN",23457,25334,161
"2021-05-26","BANTEN",23483,25352,161
"2021-05-29","BANTEN",23633,25483,161
"2021-05-31","BANTEN",23735,25580,161
"2021-06-02","BANTEN",23823,25680,161
"2021-06-10","BANTEN",24254,26160,161
"2021-06-12","BANTEN",24449,26393,161
"2021-06-13","BANTEN",24544,26496,161
"2021-03-24","BENGKULU",2398,2837,82
"2021-03-28","BENGKULU",2423,2859,82
"2021-04-07","BENGKULU",2531,3006,82
"2021-04-12","BENGKULU",2604,3115,82
"2021-04-15","BENGKULU",2649,3156,82
"2021-04-16","BENGKULU",2670,3189,83
"2021-04-17","BENGKULU",2694,3219,83
"2021-04-18","BENGKULU",2743,3265,83
"2021-04-19","BENGKULU",2760,3275,83
"2021-04-20","BENGKULU",2780,3305,83
"2021-04-21","BENGKULU",2819,3352,83
"2021-04-22","BENGKULU",2826,3365,83
"2021-04-23","BENGKULU",2856,3417,91
"2021-04-24","BENGKULU",2874,3439,91
"2021-04-25","BENGKULU",2920,3507,91
"2021-04-26","BENGKULU",2943,3526,91
"2021-04-27","BENGKULU",2978,3560,92
"2021-04-30","BENGKULU",3040,3650,92
"2021-05-01","BENGKULU",3090,3702,92
"2021-05-02","BENGKULU",3123,3744,92
"2021-05-04","BENGKULU",3151,3777,92
"2021-05-06","BENGKULU",3195,3818,92
"2021-05-08","BENGKULU",3262,3892,92
"2021-05-10","BENGKULU",3290,3919,92
"2021-05-13","BENGKULU",3334,3976,92
"2021-05-14","BENGKULU",3357,3982,92
"2021-05-16","BENGKULU",3361,3990,92
"2021-05-19","BENGKULU",3378,4014,116
"2021-05-25","BENGKULU",3500,4177,116
"2021-05-26","BENGKULU",3515,4189,116
"2021-05-29","BENGKULU",3596,4274,116
"2021-05-31","BENGKULU",3629,4329,116
"2021-06-02","BENGKULU",3644,4354,129
"2021-06-10","BENGKULU",3767,4495,196
"2021-06-12","BENGKULU",3781,4524,260
"2021-06-13","BENGKULU",3828,4580,260
