"tanggal","provinsi","kumulatif","dirawat","sembuh","meninggal"
"2021-03-24","ACEH",9791,1393,8007,391
"2021-03-28","ACEH",9845,1402,8048,395
"2021-04-07","ACEH",9985,1458,8129,398
"2021-04-12","ACEH",10106,1534,8168,404
"2021-04-15","ACEH",10200,1462,8331,407
"2021-04-16","ACEH",10222,1353,8462,407
"2021-04-17","ACEH",10257,1284,8565,408
"2021-04-18","ACEH",10300,1226,8665,409
"2021-04-19","ACEH",10313,1137,8766,410
"2021-04-20","ACEH",10365,1066,8883,416
"2021-04-21","ACEH",10429,1018,8993,418
"2021-04-22","ACEH",10516,996,9100,420
"2021-04-23","ACEH",10607,978,9207,422
"2021-04-24","ACEH",10653,1013,9214,426
"2021-04-25","ACEH",10677,923,9325,429
"2021-04-26","ACEH",10744,954,9358,432
"2021-04-27","ACEH",10814,1015,9367,432
"2021-04-30","ACEH",11045,979,9626,440
"2021-05-01","ACEH",11169,995,9732,442
"2021-05-02","ACEH",11237,1003,9785,449
"2021-05-04","ACEH",11391,1128,9808,455
"2021-05-06","ACEH",11589,1257,9870,462
"2021-05-08","ACEH",11802,1264,10067,471
"2021-05-10","ACEH",11898,1251,10166,481
"2021-05-13","ACEH",12152,1411,10254,487
"2021-05-14","ACEH",12157,1400,10267,490
"2021-05-16","ACEH",12249,1402,10353,494
"2021-05-19","ACEH",12615,1592,10511,512
"2021-05-25","ACEH",13581,1884,11142,555
"2021-05-26","ACEH",13848,2112,11179,557
"2021-05-29","ACEH",14631,2477,11575,579
"2021-05-31","ACEH",15017,2542,11814,661
"2021-06-02","ACEH",15240,2676,11964,600
"2021-06-10","ACEH",16825,3460,12708,657
"2021-06-12","ACEH",17217,3570,12967,680
"2021-06-13","ACEH",17376,3684,13002,690
"2021-03-24","BALI",38526,2202,35365,959
"2021-03-28","BALI",39171,2834,35362,975
"2021-04-07","BALI",41054,2097,37926,1031
"2021-04-12","BALI",41903,2502,38314,1087
"2021-04-15","BALI",42376,2388,38891,1097
"2021-04-16","BALI",42587,2599,38891,1097
"2021-04-17","BALI",42756,2649,39010,1097
"2021-04-18","BALI",42928,2598,39202,1128
"2021-04-19","BALI",43082,1872,40074,1136
"2021-04-20","BALI",43289,1802,40343,1144
"2021-04-21","BALI",43485,1994,40339,1152
"2021-04-22","BALI",43653,1781,40711,1161
"2021-04-23","BALI",43791,1762,40858,1171
"2021-04-24","BALI",43915,1883,40858,1174
"2021-04-25","BALI",43981,1762,41040,1179
"2021-04-26","BALI",44086,1686,41215,1185
"2021-04-27","BALI",44236,1744,41297,1195
"2021-04-30","BALI",44671,1865,41595,1211
"2021-05-01","BALI",44813,1651,41937,1225
"2021-05-02","BALI",44899,1676,41992,1231
"2021-05-04","BALI",45154,1682,42224,1248
"2021-05-06","BALI",45428,1845,42325,1258
"2021-05-08","BALI",45655,1696,42685,1274
"2021-05-10","BALI",45832,1627,42919,1286
"2021-05-13","BALI",46124,1632,43187,1305
"2021-05-14","BALI",46171,1585,43278,1308
"2021-05-16","BALI",46290,1496,43477,1317
"2021-05-19","BALI",46555,1403,43817,1335
"2021-05-25","BALI",46973,1491,44130,1352
"2021-05-26","BALI",47032,1504,44172,1356
"2021-05-29","BALI",47173,1158,44655,1360
"2021-05-31","BALI",47259,957,44935,1367
"2021-06-02","BALI",47320,891,45060,1369
"2021-06-10","BALI",47642,675,45453,1514
"2021-06-12","BALI",47710,407,45783,1520
"2021-06-13","BALI",47754,406,45825,1523
"2021-03-24","BANTEN",35596,6562,28397,637
"2021-03-28","BANTEN",36162,6533,28983,646
"2021-04-07","BANTEN",44534,2062,41332,1140
"2021-04-12","BANTEN",45333,2001,42157,1175
"2021-04-15","BANTEN",45683,1979,42526,1178
"2021-04-16","BANTEN",45835,2097,42557,1181
"2021-04-17","BANTEN",45937,2098,42649,1190
"2021-04-18","BANTEN",45987,1899,42898,1190
"2021-04-19","BANTEN",46062,1937,42934,1191
"2021-04-20","BANTEN",46171,2006,42973,1192
"2021-04-21","BANTEN",46241,1907,43140,1194
"2021-04-22","BANTEN",46343,1915,43233,1195
"2021-04-23","BANTEN",46516,1988,43331,1197
"2021-04-24","BANTEN",46574,1924,43453,1197
"2021-04-25","BANTEN",46654,1866,43589,1199
"2021-04-26","BANTEN",46874,1913,43761,1200
"2021-04-27","BANTEN",47101,1945,43956,1200
"2021-04-30","BANTEN",47343,1953,44180,1210
"2021-05-01","BANTEN",47396,1942,44244,1210
"2021-05-02","BANTEN",47451,1961,44278,1212
"2021-05-04","BANTEN",47689,1994,44479,1216
"2021-05-06","BANTEN",47827,1902,44705,1220
"2021-05-08","BANTEN",47976,1965,44787,1224
"2021-05-10","BANTEN",48129,1866,45035,1228
"2021-05-13","BANTEN",48301,1955,45117,1229
"2021-05-14","BANTEN",48340,1966,45145,1229
"2021-05-16","BANTEN",48428,1893,45304,1231
"2021-05-19","BANTEN",48563,1655,45672,1236
"2021-05-25","BANTEN",48952,1422,46282,1248
"2021-05-26","BANTEN",48996,1443,46305,1248
"2021-05-29","BANTEN",49277,1538,46484,1255
"2021-05-31","BANTEN",49476,1396,46823,1257
"2021-06-02","BANTEN",49664,1498,46908,1258
"2021-06-10","BANTEN",50575,2014,47286,1275
"2021-06-12","BANTEN",51003,2191,47532,1280
"2021-06-13","BANTEN",51201,2335,47582,1284
"2021-03-24","BENGKULU",5317,247,4917,153
"2021-03-28","BENGKULU",5364,236,4974,154
"2021-04-07","BENGKULU",5619,311,5150,158
"2021-04-12","BENGKULU",5801,368,5273,160
"2021-04-15","BENGKULU",5887,386,5339,162
"2021-04-16","BENGKULU",5942,411,5369,162
"2021-04-17","BENGKULU",5996,434,5399,163
"2021-04-18","BENGKULU",6091,493,5434,164
"2021-04-19","BENGKULU",6118,486,5467,165
"2021-04-20","BENGKULU",6168,505,5498,165
"2021-04-21","BENGKULU",6254,550,5538,166
"2021-04-22","BENGKULU",6274,549,5559,166
"2021-04-23","BENGKULU",6364,608,5590,166
"2021-04-24","BENGKULU",6404,623,5615,166
"2021-04-25","BENGKULU",6518,686,5666,166
"2021-04-26","BENGKULU",6560,683,5706,171
"2021-04-27","BENGKULU",6630,712,5746,172
"2021-04-30","BENGKULU",6782,758,5852,172
"2021-05-01","BENGKULU",6884,820,5892,172
"2021-05-02","BENGKULU",6959,847,5939,173
"2021-05-04","BENGKULU",7020,854,5992,174
"2021-05-06","BENGKULU",7105,852,6078,175
"2021-05-08","BENGKULU",7246,910,6161,175
"2021-05-10","BENGKULU",7301,851,6275,175
"2021-05-13","BENGKULU",7402,800,6427,175
"2021-05-14","BENGKULU",7431,789,6467,175
"2021-05-16","BENGKULU",7443,714,6554,175
"2021-05-19","BENGKULU",7508,699,6634,175
"2021-05-25","BENGKULU",7793,696,6920,177
"2021-05-26","BENGKULU",7820,721,6922,177
"2021-05-29","BENGKULU",7986,739,7068,179
"2021-05-31","BENGKULU",8074,746,7148,180
"2021-06-02","BENGKULU",8127,708,7239,180
"2021-06-10","BENGKULU",8458,675,7602,181
"2021-06-12","BENGKULU",8565,702,7679,184
"2021-06-13","BENGKULU",8668,755,7729,184
"2021-03-24","DAERAH ISTIMEWA YOGYAKARTA",32054,5078,26208,768
"2021-03-28","DAERAH ISTIMEWA YOGYAKARTA",32811,5183,26837,791
"2021-04-07","DAERAH ISTIMEWA YOGYAKARTA",34783,4882,29064,837
"2021-04-12","DAERAH ISTIMEWA YOGYAKARTA",35716,4819,30033,864
"2021-04-15","DAERAH ISTIMEWA YOGYAKARTA",36461,4789,30793,879
"2021-04-16","DAERAH ISTIMEWA YOGYAKARTA",36679,4801,30993,885
"2021-04-17","DAERAH ISTIMEWA YOGYAKARTA",36837,4669,31274,894
"2021-04-18","DAERAH ISTIMEWA YOGYAKARTA",36980,4581,31499,900
"2021-04-19","DAERAH ISTIMEWA YOGYAKARTA",37150,4577,31667,906
"2021-04-20","DAERAH ISTIMEWA YOGYAKARTA",37360,4540,31910,910
"2021-04-21","DAERAH ISTIMEWA YOGYAKARTA",37589,4518,32152,919
"2021-04-22","DAERAH ISTIMEWA YOGYAKARTA",37846,4493,32426,927
"2021-04-23","DAERAH ISTIMEWA YOGYAKARTA",37983,4365,32686,932
"2021-04-24","DAERAH ISTIMEWA YOGYAKARTA",38132,4248,32948,936
"2021-04-25","DAERAH ISTIMEWA YOGYAKARTA",38355,4215,33199,941
"2021-04-26","DAERAH ISTIMEWA YOGYAKARTA",38539,4172,33424,943
"2021-04-27","DAERAH ISTIMEWA YOGYAKARTA",38703,4119,33636,948
"2021-04-30","DAERAH ISTIMEWA YOGYAKARTA",39516,4153,34407,956
"2021-05-01","DAERAH ISTIMEWA YOGYAKARTA",39644,3948,34737,959
"2021-05-02","DAERAH ISTIMEWA YOGYAKARTA",39824,3814,35045,965
"2021-05-04","DAERAH ISTIMEWA YOGYAKARTA",40140,3478,35681,981
"2021-05-06","DAERAH ISTIMEWA YOGYAKARTA",40601,3383,36225,993
"2021-05-08","DAERAH ISTIMEWA YOGYAKARTA",40922,3167,36742,1013
"2021-05-10","DAERAH ISTIMEWA YOGYAKARTA",41204,2993,37183,1028
"2021-05-13","DAERAH ISTIMEWA YOGYAKARTA",41680,2699,37937,1044
"2021-05-14","DAERAH ISTIMEWA YOGYAKARTA",41777,2617,38102,1058
"2021-05-16","DAERAH ISTIMEWA YOGYAKARTA",42006,2412,38526,1068
"2021-05-19","DAERAH ISTIMEWA YOGYAKARTA",42524,2338,39098,1088
"2021-05-25","DAERAH ISTIMEWA YOGYAKARTA",43645,2135,40372,1138
"2021-05-26","DAERAH ISTIMEWA YOGYAKARTA",43835,2127,40564,1144
"2021-05-29","DAERAH ISTIMEWA YOGYAKARTA",44412,2114,41134,1164
"2021-05-31","DAERAH ISTIMEWA YOGYAKARTA",44746,2123,41443,1180
"2021-06-02","DAERAH ISTIMEWA YOGYAKARTA",45233,2286,41751,1196
"2021-06-10","DAERAH ISTIMEWA YOGYAKARTA",47432,2960,43224,1248
"2021-06-12","DAERAH ISTIMEWA YOGYAKARTA",48285,3364,43654,1267
"2021-06-13","DAERAH ISTIMEWA YOGYAKARTA",48751,3600,43876,1275
"2021-03-24","DKI JAKARTA",373761,4581,362931,6249
"2021-03-28","DKI JAKARTA",379691,7775,365600,6316
"2021-04-07","DKI JAKARTA",388338,6248,375694,6396
"2021-04-12","DKI JAKARTA",393290,6347,380506,6437
"2021-04-15","DKI JAKARTA",396109,6945,382710,6454
"2021-04-16","DKI JAKARTA",397088,7039,383581,6468
"2021-04-17","DKI JAKARTA",398125,7059,384580,6486
"2021-04-18","DKI JAKARTA",399075,7007,385567,6501
"2021-04-19","DKI JAKARTA",400048,6998,386537,6513
"2021-04-20","DKI JAKARTA",400508,6540,387434,6534
"2021-04-21","DKI JAKARTA",401110,6564,388007,6539
"2021-04-22","DKI JAKARTA",402376,6561,389259,6556
"2021-04-23","DKI JAKARTA",403260,6913,389773,6574
"2021-04-24","DKI JAKARTA",404167,7216,390365,6586
