"nama","kode_rs","tempat_tidur","telepon","lokasi.lat","lokasi.lon","alamat","tipe","wilayah"
"RSUD KOYA","0000001",   0,"(021) 43938478", -6.10867900,106.89986500,"JALAN DELI NO. 4 TANJUNG PRIOK JAKARTA 14220","RS_RUJUKAN_PROVINSI","JAKARTA UTARA, DKI JAKARTA"
"RS UMUM DAERAH TAREMPA","2105005",  26,"",  3.21764800,106.21901700,"JL. IMAM BONJOL NO. 61, TAREMPA, KEC. SIANTAN","RS_RUJUKAN_PROVINSI","KEPULAUAN ANAMBAS, KEPULAUAN RIAU"
"RS UMUM ALMAH","1902011",  32,"0877-9750-0005", -2.75720032,107.72145320,"JL. JEND. SUDIRMAN KM. 11 KECAMATAN BULUH TUMBANG, TANJUNG PANDAN","RS_RUJUKAN_PROVINSI","BELITUNG, KEPULAUAN BANGKA BELITUNG"
"RSU PMI BOGOR","3271013", 283,"+622518393030", -6.59843300,106.80569700,"JL. RAYA PAJAJARAN NO.80, RT.02/RW.05, TEGALLEGA, KECAMATAN BOGOR TENGAH, KOTA BOGOR, JAWA BARAT 16143","RS_RUJUKAN_PROVINSI","KOTA BOGOR, JAWA BARAT"
"RS UMUM DAERAH DR. ISHAK UMARELLA","8103053", 115,"(0911) 3869260", -3.59417400,128.34748700,"JALAN PAHLAWAN NO. 36 TULEHU, MALUKU TENGAH. KODE POS 97582","RS_RUJUKAN_PROVINSI","MALUKU TENGAH, MALUKU"
"RS UMUM DAERAH BENGKULU TENGAH","1709038",  70,"0736-7342598", -3.73404000,102.44902000,"JL. RAYA BENGKULU - KEPAHIANG  KM.27,5 DESA DURIAN DEMANG KECAMATAN KARANG TINGGI KABUPATEN BENGKULU 38382","RS_RUJUKAN_PROVINSI","BENGKULU TENGAH, BENGKULU"
"RS UMUM DAERAH TAGULANDANG","7108037",  63,"(0432) 330393",  2.36221500,125.38254800,"JL. BATULINE, BAHOI, TAGULANDANG, KEPULAUAN SIAU TAGULANDANG BIARO, SULAWESI UTARA","RS_RUJUKAN_PROVINSI","KEP. SIAU TAGULANDANG BIARO, SULAWESI UTARA"
"RS DENISA","3525087",  50,"(031) 3950552", -7.16764200,112.59789500,"JL. DR. WAHIDIN SUDIROHUSODO NO.736","RS_RUJUKAN_PROVINSI","GRESIK, JAWA TIMUR"
"RS UMUM AL-ISLAM H. M. MAWARDI","3515126", 108,"(031) 8973379", -7.41696700,112.58332500,"JL. KYAI MOJO NO.12A JERUK GAMPING KRIAN SIDOARJO","RS_RUJUKAN_PROVINSI","SIDOARJO, JAWA TIMUR"
"RS UMUM OMNI MEDICAL CENTER","3172495", 125,"(021) 29779999", -6.18036500,106.88386800,"JL. PULOMAS BARAT VI NO. 20.","RS_RUJUKAN_PROVINSI","JAKARTA TIMUR, DKI JAKARTA"
"RS UMUM DAERAH SCHOLOO KEYEN","9106013",  96,NA, -1.45000000,132.01700000," JL. TEMINABUAN - AYAMARU KAMPUNG KEYEN - TEMINABUAN","RS_RUJUKAN_PROVINSI","SORONG SELATAN, PAPUA BARAT"
"RS UMUM DAERAH SUNAN KALIJAGA","3321011", 336,"", -6.89909406,110.63370882,"JL. SULTAN FATAH NO. 669/50,DEMAK","RS_RUJUKAN_PROVINSI","DEMAK, JAWA TENGAH"
"RS UMUM DAERAH NAMROLE","8109018",  66,NA, -3.83732942,126.73683721,"JL. KILOMETER NO. 02, LABUANG - NAMROLE","RS_RUJUKAN_PROVINSI","BURU SELATAN, MALUKU"
"RS UMUM KARTIKA CIBADAK","3202086",  65,"(0266) 7160071", -6.89410100,106.78519600,"JL. SILIWANGI NO.139","RS_RUJUKAN_PROVINSI","SUKABUMI, JAWA BARAT"
"RS ANGKATAN UDARA DR. EFRAM HARSANA","3520041", 111,"(0351) 869705", -7.60352000,111.44136500,"JL. RAYA SOLO, KELURAHAN MAOSPATI, KECAMATAN MAOSPATI, KAB. MAGETAN","RS_RUJUKAN_PROVINSI","MAGETAN, JAWA TIMUR"
"RS UMUM  AWAL BROS UJUNG BATU","1407012",  77,"(0762) 7363329",  0.71530100,100.53107700,"JL. SUDIRMAN NO.314, NGASO, UJUNG BATU, KABUPATEN ROKAN HULU, RIAU 28454","RS_RUJUKAN_PROVINSI","ROKAN HULU, RIAU"
"RS ISLAM SITI HAJAR","5271032",  70,"(031) 8921233", -8.58570000,116.11300000,"JL. CATUR WARGA MATARAM","RS_RUJUKAN_PROVINSI","KOTA MATARAM, NUSA TENGGARA BARAT"
"RS UMUM ISLAM GONDANG LEGI","3507204",  97,"(0341) 879047", -8.17033900,112.64027500,"JL. HAYAM WURUK 66, GONDANG LEGI WETAN, KAB. MALANG","RS_RUJUKAN_PROVINSI","MALANG, JAWA TIMUR"
"RS NATAR MEDIKA","1803033", 107,"(0721) 92521", -5.31210000,105.19600000,"JL. RAYA NATAR NO.4 MUARA PUTIH, LAMPUNG SELATAN","RS_RUJUKAN_PROVINSI","LAMPUNG SELATAN, LAMPUNG"
"RS BERGERAK KAB.KEP.SITARO","7103026",  73,"(0432) 330393",  2.38105000,125.47894500,"KAMPUNG SAWANG KEC, SIAU TIMUR SELATAN","RS_RUJUKAN_PROVINSI","KEP. SIAU TAGULANDANG BIARO, SULAWESI UTARA"
"RS UMUM AULIA","3171746",  58,"(021) 7270208", -6.33451200,106.82721300,"JL. JERUK RAYA NO.15 RT.011 RW 01,JAGAKARSA JAKSEL","RS_RUJUKAN_PROVINSI","JAKARTA SELATAN, DKI JAKARTA"
"RS UMUM DAERAH KANJURUHAN KEPANJEN","3507052", 304,"(0341) 395041", -8.14354200,112.56992700,"JL. PANJI NO. 100 KEPANJEN, KAB. MALANG","RS_RUJUKAN_PROVINSI","MALANG, JAWA TIMUR"
"RS UMUM DAERAH  ROKAN HULU","1407011", 140,"(0762) 91777",  0.88380400,100.28603600,"JL. SYEKH ISMAIL, PEMATANG BERANGAN, RAMBAH, KABUPATEN ROKAN HULU, RIAU 28558","RS_RUJUKAN_PROVINSI","ROKAN HULU, RIAU"
"RS GRAHA MEDIKA BANYUWANGI","3510106", 100,"(0333) 843118", -8.40360800,114.16250500,"JL. RAYA YOSOMULYO, GAMBIRAN, BANYUWANGI","RS_RUJUKAN_PROVINSI","BANYUWANGI, JAWA TIMUR"
"RS UMUM DAERAH KABUPATEN LANDAK","6103013", 104,"(0563) 2022846", -7.04210000,112.89700000,"JL. RAYA NGABANG SANGGAU NO.109 KECAMATAN NGABANG KABUPATEN LANDAK","RS_RUJUKAN_PROVINSI","LANDAK, KALIMANTAN BARAT"
"RS TK IV DR.ARYOKO","9271034",  26,"(0951) 333708",  0.06777200,132.59279500,"JL. PRAMUKA NO.1 KELURAHAN KLAGETE DISTRIK SORONG UTARA 98412","RS_RUJUKAN_PROVINSI","KOTA SORONG, PAPUA BARAT"
"RS UMUM  SANSANI","1471383",  82,"(0761) 564666",  0.45541709,101.41867592,"JL SOEKARNO HATTA ATAS PEKAN BARU","RS_RUJUKAN_PROVINSI","KOTA PEKANBARU, RIAU"
"RS UMUM DAERAH KABUPATEN NUNUKAN","6408025", 152,"(0556) 24416",  4.14259000,117.64900000,"JL. UJANG FATIMAH RT.04 NUNUKAN BARAT","RS_RUJUKAN_PROVINSI","NUNUKAN, KALIMANTAN UTARA"
"RS UMUM DAERAH KOLONEL ABUNDJANI/BANGKO","1502014", 203,"(0746) 21459", -2.06153700,102.27563600,"JL. KESEHATAN NO.20, PEMATANG KANDIS, BANGKO, KABUPATEN MERANGIN, JAMBI 37312","RS_RUJUKAN_PROVINSI","MERANGIN, JAMBI"
"RS UMUM DAERAH  BANGKINANG","1406016", 160,"",  0.35351400,101.04798400,"JL. LKR., KUMANTAN, KEC. BANGKINANG, KABUPATEN KAMPAR, RIAU 28463","RS_RUJUKAN_PROVINSI","KAMPAR, RIAU"
"RS UMUM YUKUM MEDICAL CENTRE","1805023", 149,"", -4.89840000,105.21275600,"JL. NEGARA NO.99, YUKUM JAYA, KEC. TERBANGGI BESAR, KABUPATEN LAMPUNG TENGAH, LAMPUNG 34163","RS_RUJUKAN_PROVINSI","LAMPUNG TENGAH, LAMPUNG"
"RS UMUM DAERAH MADANI PALU","7271051", 231,"(0451) 491470", -0.78933400,119.87040200,"JL. THALUA KONTJI NO. 11  MAMBORO PALU","RS_RUJUKAN_PROVINSI","KOTA PALU, SULAWESI TENGAH"
"RS UMUM BUMI WARAS","1871234", 181,"(0721) 254589", -5.42504100,105.25188900,"JL. WOLTER MONGINSIDI NO.235, PENGAJARAN, BUMI WARAS, KOTA BANDAR LAMPUNG, LAMPUNG 35121","RS_RUJUKAN_PROVINSI","KOTA BANDAR LAMPUNG, LAMPUNG"
"RS UMUM BUNDA JAKARTA","3173696",  46,"(021) 1500799", -6.19603000,106.83718900,"JL. TEUKU CIK DITIRO NO.21, RT.9/RW.2, GONDANGDIA, KEC. MENTENG, KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA 10350","RS_RUJUKAN_PROVINSI","JAKARTA PUSAT, DKI JAKARTA"
"RS EKA HOSPITAL","3201258",  66,"(021) 50855555", -6.38475000,106.95499100,"JALAN RAYA KOTA WISATA KAV. V2, NAGRAK, KEC. GN. PUTRI","RS_RUJUKAN_PROVINSI","BOGOR, JAWA BARAT"
"RS UMUM BETHA MEDIKA","3202073", 153,"", -6.90256900,106.88260000,"JL. RAYA CISAAT NO.595, SUKABUMI","RS_RUJUKAN_PROVINSI","SUKABUMI, JAWA BARAT"
"RS UMUM HANDAYANI","1806035", 195,"0811-725-127", -4.83951600,104.88590100,"JALAN SOEKARNO - HATTA NO. 94 KOTA ALAM KOTABUMI, TJ. AMAN, KEC. KOTABUMI SEL., KABUPATEN LAMPUNG UTARA, LAMPUNG 34516","RS_RUJUKAN_PROVINSI","LAMPUNG UTARA, LAMPUNG"
"RS UMUM BHAYANGKARA SESPIMMA POLRI","3171785", 100,"(021) 7650384", -6.28650700,106.77061500,"JL. CIPUTAT RAYA NO.40, RT.1/RW.9, PD. PINANG, KEC. KBY. LAMA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12310","RS_RUJUKAN_PROVINSI","JAKARTA SELATAN, DKI JAKARTA"
"RS PROVITA JAYAPURA","9271079", 103,"(0967) 51628880", -2.53672000,140.70523100,"JL. DR. SAM RATULANGI, BAYANGKARA, JAYAPURA UTARA, KOTA JAYAPURA, PAPUA","RS_RUJUKAN_PROVINSI","KOTA JAYAPURA, PAPUA"
"RS UMUM AKADEMIK ATMA JAYA","3175031", 150,"(021) 6606127", -6.12660000,106.79300000,"JL. PLUIT RAYA JAKARTA UTARA NO. 02","RS_RUJUKAN_PROVINSI","JAKARTA UTARA, DKI JAKARTA"
"RS UMUM DOMPU","5205014", 193,"0373 21411", -8.54540000,118.44600000,"JL. KESEHATAN NO. 1 DOMPU, NTB","RS_RUJUKAN_PROVINSI","DOMPU, NUSA TENGGARA BARAT"
"RS UMUM DAERAH DR. HASRI AINUN HABIBIE","7502034", 117,"0435-880008",  0.62452400,122.99046300,"JL. AHMAD A. WAHAB, DUTULANAA, LIMBOTO, KOTA GORONTALO, GORONTALO 96181","RS_RUJUKAN_PROVINSI","GORONTALO, GORONTALO"
"RS UMUM DAERAH MEURAXA","1171110", 274,"(0651) 43097",  5.51841000, 95.31720000,"JL. SOEKARNO HATTA KM. 2 DESA MIBO KECAMATAN BANDA RAYA KOTA BANDA ACEH","RS_RUJUKAN_PROVINSI","KOTA BANDA ACEH, ACEH"
"RS UMUM PT CHEVRON PACIFIC INDONESIA","1408067",  16,"",  1.24655000,101.18800000,"KOMPLEK MERAPI CAMP PT CHEVRON PACIFIC INDONESIA DURI","RS_RUJUKAN_PROVINSI","BENGKALIS, RIAU"
"RS UMUM DAERAH TELUK KUANTAN","1401011", 135,"0811-755-521", -0.51019900,101.54236000,"SUNGAI JERING, KUANTAN TENGAH, KABUPATEN KUANTAN SINGINGI, RIAU 29566","RS_RUJUKAN_PROVINSI","KUANTAN SINGINGI, RIAU"
"RSU AZRA","3271072", 130,"+622518318456", -6.57919700,106.80859600,"JL. RAYA PAJAJARAN NO.219, RT.02/RW.11, BANTARJATI, KEC. BOGOR UTARA, KOTA BOGOR, JAWA BARAT 16153","RS_RUJUKAN_PROVINSI","KOTA BOGOR, JAWA BARAT"
"RS UMUM DAERAH PROF. DR. H.  CHATIB QUZWAIN","1503036", 139,"(0745) 7392359", -2.37401200,102.71453800,"JL. TRANS SUMATERA NO.KM.09, BUKIT, PELAWAN, KABUPATEN SAROLANGUN, JAMBI 37482","RS_RUJUKAN_PROVINSI","SAROLANGUN, JAMBI"
"RS UMUM PKU MUHAMMADIYAH GAMPING","3404183", 187,"", -7.79979200,110.31728000,"JL. WATES KM 5,5 GAMPING SLEMAN","RS_RUJUKAN_PROVINSI","SLEMAN, DAERAH ISTIMEWA YOGYAKARTA"
"RS UMUM PURI CINERE","3201072", 138,"(021) 7545488", -6.32173133,106.78293108,"JL. MARIBAYA NO.1 PURI CINERE,DEPOK","RS_RUJUKAN_PROVINSI","KOTA DEPOK, JAWA BARAT"
"RS UMUM DAERAH LABUHA","8204010", 135,"IGD 0812-4475-3350 / AMBULANS 0812-4475-3352", -0.63413800,127.52679800,"JL. RAYA LABUHA-BABANG, MARABOSE, BACAN, KABUPATEN HALMAHERA SELATAN, MALUKU UTARA","RS_RUJUKAN_PROVINSI","HALMAHERA SELATAN, MALUKU UTARA"
"RS UMUM PANTI WALUYA SAWAHAN MALANG","3573055", 198,"(0341) 366033", -7.98656000,112.62496900,"JL. NUSAKAMBANGAN NO.56 KOTA MALANG","RS_RUJUKAN_PROVINSI","KOTA MALANG, JAWA TIMUR"
"RS UMUM DAERAH DR. HARJONO S. KABUPATEN PONOROGO","3502010", 412,"(0352) 489262", -7.89026800,111.46112200,"JL. LAKSAMANA YOS SUDARSO, SEGADING, PAKUNDEN, KEC. PONOROGO","RS_RUJUKAN_PROVINSI","PONOROGO, JAWA TIMUR"
"RS UMUM DAERAH ASY-SYIFA SUMBAWA BARAT","5207002", 103,"(0372) 82999", -8.73505500,116.84999700,"JL. LANG SESAT, TALIWANG, DALAM, SUMBAWA BARAT, KABUPATEN SUMBAWA BARAT, NUSA TENGGARA BAR. 84455","RS_RUJUKAN_PROVINSI","SUMBAWA BARAT, NUSA TENGGARA BARAT"
"RS PKU MUHAMMADIYAH YOGYAKARTA","3471041", 213,"(0274) 512653", -7.80112100,110.36225700,"JL K.H. AHMAD DAHLAN NO. 20 NGUPASAN GONDOMANAN YOGYAKARTA","RS_RUJUKAN_PROVINSI","KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA"
"RS UMUM SANTA ELISABETH BATAM","2071015", 101,"(0778) 457357",  1.13593000,104.01615200,"JL. ANGGREK BLOK II LUBUK BAJA","RS_RUJUKAN_PROVINSI","KOTA BATAM, KEPULAUAN RIAU"
"RS UNIVERSITAS TANJUNGPURA","6171139",  71,"(0561) 576242", -0.06191200,109.34552300,"JL. PROFESOR DOKTER H. HADARI NAWAWI, BANSIR LAUT, KEC. PONTIANAK TENGGARA, KOTA PONTIANAK, KALIMANTAN BARAT 78115","RS_RUJUKAN_PROVINSI","KOTA PONTIANAK, KALIMANTAN BARAT"
"RS DAERAH MADANI KOTA PEKANBARU","1471398",  62,"",  0.48225600,101.36371800,"JL. GARUDA SAKTI, SIMPANG BARU, KEC. TAMPAN, KOTA PEKANBARU, RIAU 28291","RS_RUJUKAN_PROVINSI","KOTA PEKANBARU, RIAU"
"RS JIWA GRHASIA","3404022", 253,"(0274) 895143", -7.66174900,110.42110200,"JL. KALIURANG KM. 17 PAKEM SLEMAN DIY","RS_RUJUKAN_PROVINSI","SLEMAN, DAERAH ISTIMEWA YOGYAKARTA"
"RS BHAYANGKARA MANADO","7171061",  87,"(0431) 840455",  1.45557900,124.83834500,"JL. SAM RATULANGI NO. 326 MANADO","RS_RUJUKAN_PROVINSI","KOTA MANADO, SULAWESI UTARA"
"RS ARAFAH ANWAR MEDIKA SUKODONO","3515140",  47,"(031) 8830989", -7.39408100,112.67297100,"JALAN SAWO NO. 2, DUNGUS, SUKADONO, SUKODONO, KEC. SIDOARJO, KABUPATEN SIDOARJO, JAWA TIMUR 61258","RS_RUJUKAN_PROVINSI","SIDOARJO, JAWA TIMUR"
"RS AL HUDA","3510103", 200,"(0333) 842033", -8.37655500,114.14685800,"JL. RAYA GAMBIRAN NO. 225, DESA GAMBIRAN, KEC. GAMBIRAN, KAB. BANYUWANGI","RS_RUJUKAN_PROVINSI","BANYUWANGI, JAWA TIMUR"
"RS UMUM DAERAH DR. CHASBULLAH ABDULMADJID","3275013", 554,"(021) 8841005", -6.26810000,107.08200000,"JL. PRAMUKA NO. 55 BEKASI","RS_RUJUKAN_PROVINSI","KOTA BEKASI, JAWA BARAT"
"RS UMUM MEDIKA STANNIA","1901031", 103,"(0717) 95837", -1.85788700,106.11834600,"SUNGAILIAT, SUNGAI LIAT, KABUPATEN BANGKA, KEPULAUAN BANGKA BELITUNG 33215","RS_RUJUKAN_PROVINSI","BANGKA, KEPULAUAN BANGKA BELITUNG"
"RS UMUM DAERAH DAYA KOTA MAKASSAR","7371395", 270,"(0411) 525244", -5.11365200,119.51203600,"JL. PERINTIS KEMERDEKAAN NO.KM.14, DAYA, KEC. BIRINGKANAYA, KOTA MAKASSAR, SULAWESI SELATAN 90243","RS_RUJUKAN_PROVINSI","KOTA MAKASSAR, SULAWESI SELATAN"
"RS UMUM DAERAH WALED","3209014", 285,"(0231) 661126", -6.91420000,108.71800000,"JL. PRABU KIANSANTANG NO. 4 WALED, CIREBON","RS_RUJUKAN_PROVINSI","CIREBON, JAWA BARAT"
"RS UMUM SANTOSA HOSPITAL BANDUNG KOPO","3273542", 302,"(022) 54280333", -6.95253100,107.58615100,"JL. K.H. WAHID HASYIM (KOPO) NO. 461-463 BANDUNG","RS_RUJUKAN_PROVINSI","KOTA BANDUNG, JAWA BARAT"
"RS UMUM COLUMBIA ASIA PULOMAS","3172758", 110,"(021) 29459999", -6.18230700,106.89113500,"JL. KAYU PUTIH RAYA NO. 1","RS_RUJUKAN_PROVINSI","JAKARTA TIMUR, DKI JAKARTA"
"RS UMUM DAERAH PROF. DR. SOEKANDAR","3516020", 214,"(0321) 591591", -7.51898400,112.55983200,"JL. HAYAM WURUK 25 MOJOSARI KAB. MOJOKERTO","RS_RUJUKAN_PROVINSI","MOJOKERTO, JAWA TIMUR"
"RS UMUM DAERAH SEKARWANGI","3202014", 230,"(0266) 531261", -6.89468402,106.79271089,"JL. SILIWANGI NO. 49 CIBADAK SUKABUMI","RS_RUJUKAN_PROVINSI","SUKABUMI, JAWA BARAT"
"RS UMUM HERMINA GALAXY","3216389", 102,"(021) 8222525", -6.26839200,106.97222400,"JL. GARDENIA RAYA BLOK BA I NO.11 GRAND GALAXY CITY BEKASI","RS_RUJUKAN_PROVINSI","KOTA BEKASI, JAWA BARAT"
"RS UMUM PURI INDAH","3174508", 134,"(021) 25695200", -6.18608600,106.73536600,"JL. PURI INDAH RAYA,BLOK S-2,KEL.KEMBANGAN SELATAN,JAKBAR","RS_RUJUKAN_PROVINSI","JAKARTA BARAT, DKI JAKARTA"
"RS UMUM NOONGAN","7102120", 100,"(0431) 3174379",  1.12306700,124.80965800,"JL.RAYA NOONGAN LANGOWAN BARAT","RS_RUJUKAN_PROVINSI","MINAHASA, SULAWESI UTARA"
"RS SILOAM JAMBI","1571147", 102,"(0741) 5919000", -1.62851100,103.63569100,"JL. SOEKARNO-HATTA, PAAL MERAH, KEC. JAMBI SEL., KOTA JAMBI, JAMBI 36139","RS_RUJUKAN_PROVINSI","KOTA JAMBI, JAMBI"
"RS UMUM LANUD DR. M. SALAMUN","3273030", 184,"", -6.86480000,107.60500000,"JL. CIUMBULEUIT 203 BANDUNG","RS_RUJUKAN_PROVINSI","KOTA BANDUNG, JAWA BARAT"
"RS UMUM DAERAH CILILIN","3217002",  88,"(022) 6941600", -6.94336000,107.45962400,"JL. CINTAKARYA DESA CILILIN KECAMATAN CILILIN KABUPATEN BANDUNG BARAT","RS_RUJUKAN_PROVINSI","BANDUNG BARAT, JAWA BARAT"
"RS UMUM DAERAH TALANG UBI","1603085",  91,"(0713) 390566", -3.27800200,103.82062200,"JL. TAMAN SISWA, PS. BHAYANGKARA, TALANG UBI, PENUKAL ABAB LEMATANG ILIR REGENCY, SUMATERA SELATAN 31211","RS_RUJUKAN_PROVINSI","PENUKAL ABAB LEMATANG ILIR, SUMATERA SELATAN"
"RS JIWA ATMA HUSADA MAHAKAM","6472063", 172,"(0541) 743364", -0.50210000,117.15400000,"JL. KAKAP NO.23 SAMARINDA","RS_RUJUKAN_PROVINSI","KOTA SAMARINDA, KALIMANTAN TIMUR"
"RS UMUM DAERAH KAB. SAMPANG","3527012", 266,"(0323) 323956", -7.19678900,113.24370500,"JL. RAJAWALI NO. 10, SAMPANG","RS_RUJUKAN_PROVINSI","SAMPANG, JAWA TIMUR"
"RS UMUM IMMANUEL BANDUNG","3273052", 466,"", -6.93540000,107.59600000,"JL. KOPO 161 BANDUNG","RS_RUJUKAN_PROVINSI","KOTA BANDUNG, JAWA BARAT"
"RS UMUM BHAKTI MEDICARE","3202084", 101,"", -6.77800000,106.78600000,"JL. RAYA SILIWANGI NO.186B, CICURUG - SUKABUMI","RS_RUJUKAN_PROVINSI","SUKABUMI, JAWA BARAT"
"RS UMUM DAERAH KUDUNGGA","6404032", 216,"082250364657",  0.52086000,117.43500000,"JL. SOEKARNO HATTA NO.1 SANGATTA UTARA","RS_RUJUKAN_PROVINSI","KUTAI TIMUR, KALIMANTAN TIMUR"
"RS UMUM DAERAH DR. R. GOETENG TAROENADIBRATA","3303016", 340,"", -7.38460000,109.36200000,"JL. TENTARA PELAJAR PURBALINGGA NO. 22","RS_RUJUKAN_PROVINSI","PURBALINGGA, JAWA TENGAH"
"RS DAERAH MANGUSADA","5103032", 265,"", -8.57875100,115.18242000,"JL. RAYA KAPAL MENGWI, BADUNG","RS_RUJUKAN_PROVINSI","BADUNG, BALI"
"RS BHAYANGKARA JAYAPURA","9271067", 135,"(0967) 587787", -2.59077000,140.67532600,"JL. JERUK NIPIS FURIA INDAH KOTARAJA, WAHNO, ABEPURA, PAPUA 99127","RS_RUJUKAN_PROVINSI","KOTA JAYAPURA, PAPUA"
"RS UMUM SILOAM HOSPITALS KEBON JERUK","3174351", 210,"(021) 25677888", -6.19082050,106.76134270,"JL. PERJUANGAN RAYA KAV.8 JAKARTA BARAT","RS_RUJUKAN_PROVINSI","JAKARTA BARAT, DKI JAKARTA"
"RS PRIMA HUSADA","3507104", 163,"(0341) 458679", -7.90789100,112.65759500,"JL. RAYA MONDOROKO, MONDOROKO, BANJARARUM, KEC. SINGOSARI, MALANG, JAWA TIMUR 65153","RS_RUJUKAN_PROVINSI","MALANG, JAWA TIMUR"
