"tanggal","provinsi","sembuh"
"2021-03-24","DKI JAKARTA",362931
"2021-03-24","JAWA BARAT",215025
"2021-03-24","JAWA TENGAH",122955
"2021-03-24","JAWA TIMUR",121844
"2021-03-24","KALIMANTAN TIMUR",56947
"2021-03-24","SULAWESI SELATAN",56655
"2021-03-24","BALI",35365
"2021-03-24","BANTEN",28397
"2021-03-24","RIAU",31904
"2021-03-24","DAERAH ISTIMEWA YOGYAKARTA",26208
"2021-03-24","SUMATERA BARAT",29335
"2021-03-24","SUMATERA UTARA",23467
"2021-03-24","KALIMANTAN SELATAN",23041
"2021-03-24","PAPUA",10369
"2021-03-24","SUMATERA SELATAN",15201
"2021-03-24","KALIMANTAN TENGAH",13643
"2021-03-24","SULAWESI UTARA",12396
"2021-03-24","LAMPUNG",12375
"2021-03-24","NUSA TENGGARA TIMUR",9379
"2021-03-24","SULAWESI TENGAH",9819
"2021-03-24","KALIMANTAN UTARA",9096
"2021-03-24","SULAWESI TENGGARA",9543
"2021-03-24","ACEH",8007
"2021-03-24","NUSA TENGGARA BARAT",7140
"2021-03-24","KEPULAUAN RIAU",8598
"2021-03-24","KEPULAUAN BANGKA BELITUNG",7991
"2021-03-24","PAPUA BARAT",7508
"2021-03-24","MALUKU",6759
"2021-03-24","JAMBI",4911
"2021-03-24","KALIMANTAN BARAT",5009
"2021-03-24","SULAWESI BARAT",4993
"2021-03-24","BENGKULU",4917
"2021-03-24","GORONTALO",4759
"2021-03-24","MALUKU UTARA",3616
